edad,genero,departamento,tema
47,Varón,Montevideo,"Migración, estudios con preguntas abiertas basta de numeritos. Temas de diversidad. Maltrato animal. Medio ambiente. Corrupcion política, política latinoamericana "
50,Varón,Salto,Temas educativos
47,Mujer,Montevideo,
42,Mujer,Montevideo,Economia y Vivienda de la población 
58,Mujer,Maldonado,La pobreza  social  estructural  y economica
39,Mujer,Treinta y Tres,.............. 
29,Varón,Montevideo,"Importancia que le dan los partidos políticos a temas sociales, derechos de personas LGTB, etc "
59,Varón,Montevideo,Evaluación del equipo económico de gobierno
54,Varón,Montevideo,salud
53,Varón,Canelones,Politica
50,Mujer,Canelones,Como manejaría laNueva normalidad 
64,Varón,Montevideo,Los noticieros que dan la misma noticia con diferentes ángulos e ideología cuando tendría que ser pluralista y no partidista
49,Varón,Paysandu,Reactivación del país productivo el campo la siembra más trabajo y menos planes sociales q todo pero nadie quiere trbajar
53,Varón,Montevideo,"Estudio de un tema cualquiera cuando se era oposición, luego gobierno con mayoría parlamentaria durante 15 años, y después nuevamente oposición   "
57,Varón,Montevideo,No lo he pensado
63,Varón,Treinta y Tres,"Iass en los jubilados. "" Es legal descontarlo sobre lo que fue descontado cuando se es activo?"
62,Varón,Lavalleja,Delitos en el gobierno 
51,Varón,Montevideo,No se
43,Varón,Montevideo,Evangelismo
50,Mujer,Cerro Largo,"Salud , educación"
43,Varón,Colonia,"Descentralización, laudos y carga impositiva."
37,Varón,Flores,"Depresión, mejoramiento personal, hábitos alimenticios, problemas sociales. "
50,Varón,Montevideo,
50,Varón,Canelones, poder desarrollar las respuestas
38,Mujer,Salto,"Violencia de género, rol de las madres y mujeres en pandemia "
59,Mujer,San Jose,Sobre salud
55,Mujer,Canelones,educacion
40,Varón,Durazno,Fútbol 
43,Varón,Salto,
36,Mujer,Tacuarembo,alimentación saludable 
53,Mujer,Maldonado,Políticas sociales 
28,Mujer,Montevideo,
55,Varón,Tacuarembo,Trabajo para personas mayores de50
36,Varón,Colonia,
27,Mujer,Canelones,
45,Varón,Maldonado,Sociales
79,Mujer,Canelones,educación 
41,Mujer,Maldonado,
58,Varón,Salto,
55,Mujer,Colonia,Empleo en empresa uruguaya
50,Mujer,Maldonado,
32,Mujer,Salto,
58,Varón,Maldonado,
51,Varón,Rio Negro,Droga
43,Mujer,Colonia,laboral seguridad
57,Mujer,Canelones,SALUD MENTAL
42,Mujer,Maldonado,Desigualdades sociales y consecuencias 
49,Varón,San Jose,Para mí está bien así 
33,Varón,Maldonado,Anarquismo
58,Varón,Colonia,
55,Mujer,Tacuarembo,Educacion
38,Mujer,Tacuarembo,Trabajo 
50,Mujer,Salto,Temas sociales
46,Mujer,Maldonado,Persecución laboral 
48,Mujer,Canelones,Uso de redes en menores de edad
63,Varón,Paysandu,Manipulación de encuestas por agencias publicitarias 
49,Mujer,Paysandu,Educación 
26,Mujer,Paysandu,Violencia en menores de edad
30,Mujer,Rocha,La pobreza y el desempleo en Uruguay hay medios para que la mayoría de la gente tenga un empleo digno sin envargo yo al igual que otras muchas personas y familias dependemos del estado para pagar las cuentas normales de una vivienda luz y agua y dependemos de que cada mes hagamos llegar una vez al mes un pedazo de carne a nuestra mesa grasias a asignaciones y targgetas mides eso no está ma ero sería mejor que la gente pudiera trabajar todos los días por un suedito aunque sea mínimo y con esto oder alimentar adecuadamente a los niños yo levanto la comida de comedor municipal y hay uno ve el desperdicio que existe en este país en cuanto a recursos para la gente lo que no se roban se lo dan a los pobres y así alimentan cada día más la pobresa en vez de alludar a que la gente salga de esa situación. 
59,Mujer,Lavalleja,
51,Varón,Colonia,"Relaciones Exteriores, aperturas de mercados"
58,Mujer,Maldonado,
48,Mujer,Rio Negro,Vivienda y trabajo
52,Mujer,Tacuarembo,Niguno
59,Varón,Montevideo,"ACEPTO CUALQUIER TEMA ,PERO FALTAN RESPUESTAS"
47,Mujer,Maldonado,Adicciones
54,Mujer,San Jose,"Respecto a las ayudas sociales,  si se les va a seguir dando sin hacer nada a cambio"
53,Varón,Colonia,Salud
48,Mujer,Rio Negro,Cualquiera
46,Varón,Colonia,Fútbol 
43,Mujer,Tacuarembo,Metodología laboral en pandemia en nuestro pais
56,Mujer,Maldonado,"Educación, prevención de enfermedades."
55,Mujer,Maldonado,
56,Mujer,Canelones,Educación
46,Mujer,Rocha,Alimentación 
41,Mujer,Paysandu,Seguridad 
54,Mujer,Maldonado,
59,Mujer,Soriano,
57,Mujer,Maldonado,Implementacion de empleo para personas de mas de 50 y que sea real
46,Mujer,Canelones,No tengo preferencias
55,Mujer,Maldonado,Espacios para especificar algunas respuestas
27,Mujer,Florida,Empleo
56,Varón,Maldonado,Trabajo
45,Varón,Rivera,Medio ambiente
57,Varón,Colonia,No lo sé 
48,Mujer,Paysandu,Salud
42,Mujer,Maldonado,no se
18,Mujer,Rocha,
40,Mujer,Maldonado,No sé
52,Mujer,Cerro Largo,
59,Varón,Colonia,
40,Mujer,Florida,
37,Mujer,Maldonado,
58,Mujer,Canelones,Medio ambuente
20,Mujer,Soriano,
58,Mujer,Florida,Los medios de comunicación y el periodismo serio
54,Varón,Durazno,Los desfalcos del Fraudeamplio!!!!
46,Mujer,Rocha,De los gastos del Estado
27,Varón,Soriano,Trabajo
54,Mujer,Colonia,Problemas de vivienda 
37,Varón,Maldonado,"Desigualdad, inequidad"
58,Mujer,Canelones,Trabajo social en emergencia sanitaria
42,Mujer,Salto,
56,Mujer,Soriano,Seguridad
52,Varón,San Jose,la inseguridad
40,Mujer,Canelones,Educación 
50,Mujer,Tacuarembo,La universidad en el interior del país 
54,Mujer,Canelones,Inseguridad 
42,Varón,Colonia,Corrupción en el gobierno
33,Varón,Rio Negro,Migración 
58,Otro,Canelones,Cultura 
52,Mujer,Colonia,"Salud mental, alimentación saludable."
54,Mujer,Canelones,Educación en la infancia y padres por educar 
53,Mujer,Flores,medios de comunicación 
52,Varón,Montevideo,Recolección de firmas LUC
35,Mujer,Rio Negro,Educación
58,Mujer,Colonia,Planes sociales
37,Mujer,Soriano,Celiaquismo y precios elevados
45,Mujer,Treinta y Tres,
26,Mujer,Tacuarembo,
45,Mujer,Rio Negro,Educación 
42,Mujer,Florida,
47,Mujer,Rocha,Ayudas para emigrantes
38,Mujer,Montevideo,Salud mental de personas adultas 
44,Mujer,Rocha,"la educacion  ,mejor calidad de vida "
21,Mujer,Maldonado,problemática medio ambiental
39,Mujer,Tacuarembo,Coronavirus 
56,Mujer,Tacuarembo,
38,Mujer,Maldonado,Vivienda
32,Mujer,Rocha,"Violencia de género, educación, que pasa con los niños, cannabis"
38,Mujer,Maldonado,No se
50,Mujer,Canelones,Sociales
56,Mujer,Soriano,Salud mental de la poblacion
31,Mujer,Durazno,Mutualistas en el Interior 
64,Varón,Maldonado,credibilidad en el parlamento
55,Varón,Durazno,Educación
24,Varón,Montevideo,Ni idea
53,Varón,Lavalleja,El rol de los medios de (des) información. 
51,Varón,Colonia,Deportes
38,Varón,Canelones,
57,Varón,Canelones,
34,Varón,Maldonado,La manipulación política de los medios de comunicación 
47,Varón,Canelones,Corrupción y clientelismo del actual gobierno
39,Mujer,Paysandu,Corrupcion
51,Varón,Montevideo,
75,Varón,Salto,
35,Varón,Tacuarembo,Educación 
29,Varón,Montevideo,Psicologicos
55,Varón,Canelones,La educación 
48,Varón,Montevideo,SUELDOS DE CALL CENTER
42,Varón,Canelones,Política Educación Sociales
29,Varón,Montevideo,
40,Varón,Montevideo,Pobreza. 
42,Varón,Canelones,El doble discurso del socialismo
43,Varón,Montevideo,Ideología de género
40,Varón,Montevideo,Sexología
47,Varón,Montevideo,Seguridad
21,Varón,Rocha,
42,Varón,Treinta y Tres,
56,Varón,Montevideo,Parcialidad de los medios de comunicación
53,Mujer,Florida,Me gusta así
28,Varón,Maldonado,La pérdida de calidad de vida
48,Varón,Soriano,Ninguna
28,Varón,Maldonado,"¿Por qué el ser humano demanda más estado, es consciente lo que nos llevaría a futuro? "
30,Varón,Montevideo,Música
35,Varón,Montevideo,
56,Varón,Montevideo,
30,Varón,Soriano,desigualdad económica y social
50,Varón,Montevideo,Influencia de las redes sociales en las relaciones humanas.
64,Varón,Montevideo,Política. Comunicación. Economía.
42,Varón,Montevideo,
52,Varón,Tacuarembo,Deportes
46,Varón,Montevideo,Pobreza y educación 
57,Varón,Flores,
31,Varón,Canelones,Desempleo
54,Varón,Maldonado,Todos 
35,Varón,Montevideo,Color favorito 
56,Varón,Montevideo,Sociedad y situación del país
59,Varón,Maldonado,Indagar sobre las mujeres solas de la tercera edad ya que superan el 80 %. 
52,Varón,Durazno,Oportunidades de mejorar el nivel económico de las personas
46,Varón,Maldonado,ETS ( enfermedades transmisión sexual)
56,Mujer,Colonia,
56,Varón,Montevideo,Cómo Pandemia afectó la atención de salud de la población con otras enfermedades
56,Varón,Paysandu,La irresponsabilidad de la gente frente a la pandemia
61,Varón,Montevideo,
50,Mujer,Montevideo,Precios de los alimentos 
52,Varón,Montevideo,Politica
56,Varón,Montevideo,trabajo 
53,Varón,San Jose,"Efectividad de las medidas gubernamentales (Poder Ejecutivo y Legislativo) en la disminucion del desempleo y la pobreza, desigualdad social. "
41,Varón,Montevideo,Nada en especial
43,Otro,Paysandu,Empleó 
58,Varón,Montevideo,Medios de comunicación 
54,Mujer,Lavalleja,Kl
54,Varón,Durazno,Desocupación..techo ...calidad de la enseñanza y de salud pública 
37,Varón,Montevideo,
46,Varón,Canelones,Salud Mental 
55,Varón,Montevideo,costo de vida trabajo seguridad
33,Varón,Maldonado,El costo de la canasta basica
56,Varón,Montevideo,Estos temas son interesantes no sabría decirte cuales temas tocar
41,Varón,Florida,Sobre las vacunas 
47,Varón,Montevideo,Opción de voto
51,Varón,Montevideo,Cómo la gente q está sola es decir  la pareja en caso de emergencia o necesidad tener con quien ablar y q sea atendida en tiempo y forma y no digan no hay personao te deriven a otro lado dejándote colgado sin entender  q la otra persona puede tener un problemal
21,Varón,Canelones,No se me ocurre ninguno
20,Varón,Tacuarembo,
58,Varón,Florida,LOS DIARIAMENTE VERAZ
53,Varón,Rocha,Corrupción en el estado
48,Varón,Montevideo,Trabajo después de los 40
35,Varón,Montevideo,Milicias 
45,Varón,Montevideo,"Lo que se les ocurra, siempre tienenfallas en la formación lacion de las preguntas y tienen connotación capciosa "
48,Varón,Montevideo,Situación de la población afrodescendiente
38,Mujer,Canelones,
60,Mujer,Montevideo,cuidados en salud mental en uruguay
59,Mujer,Montevideo,
60,Mujer,Rivera,"Economia, educación"
52,Mujer,Montevideo,El poder de la energía personal y de nuestras creencias y emociones para crear nuestra propia vida 
60,Mujer,Montevideo,inseguridad te paso algo??
47,Mujer,Montevideo,Medioambiente
32,Mujer,Maldonado,Corrupción
50,Mujer,Montevideo,Variados
55,Mujer,Montevideo,Empleo
60,Mujer,Tacuarembo,
30,Varón,Montevideo,
40,Mujer,Montevideo,
65,Mujer,Montevideo,SI  LA GENTE RECIBE BUENA ATENCIÓN MÉDICA RESSPECTO A LA PANDEMIA
62,Varón,Montevideo,
50,Mujer,Canelones,Como vive desde el comienzo de la pandemia la gente con trabajo intermitente y sin entrada de dinero.
30,Mujer,Montevideo,Re inserción en la sociedad de personas privadas de libertad
56,Varón,Canelones,informalidad en el empleo
60,Mujer,Maldonado,Envejecimiento en el país y sus consecuencias
69,Mujer,Flores,
48,Mujer,Montevideo,.
66,Varón,Montevideo,Adictos en la calle y familias en la calle.
35,Mujer,Canelones,.
26,Mujer,Montevideo,
61,Mujer,Montevideo,Alimentos Saludables
32,Varón,Montevideo,
78,Varón,Montevideo,Economicos
22,Varón,Montevideo,
20,Mujer,Canelones,
49,Mujer,Montevideo,Ansiedad x pandemia
62,Mujer,Soriano,
67,Mujer,Lavalleja,Depresión Ansiedad y como los medios tergivezan la información
31,Mujer,Paysandu,Más sobre vivienda
28,Mujer,Montevideo,Rotulado nutricional
44,Mujer,Montevideo,
59,Mujer,Montevideo,
32,Mujer,Canelones,Seguridad 
63,Mujer,Montevideo,Corrupción 
67,Mujer,Montevideo,Sobre espacio de las noticias policiales en Televisión. 
47,Mujer,Rocha,Situación laboral
64,Mujer,San Jose,Como se gasta el fondo coronavirus
53,Mujer,Montevideo,sobre cambios en los planes en la educacion desde los mas chiquitos ...historia geografia...literatura...escritura.lectocomprension...ortografia...
36,Mujer,Montevideo,
63,Mujer,Montevideo,
31,Mujer,Montevideo,
64,Mujer,Montevideo,Hambre y desocupación 
72,Mujer,Montevideo,Todas son interesantes..
61,Mujer,Lavalleja,Educación
48,Mujer,Canelones,Salud y salario 
62,Mujer,Montevideo,Si
80,Mujer,Montevideo,
26,Mujer,Montevideo,
44,Mujer,Montevideo,Cómo la coaliciòn nos mintiò tanto en la campaña
52,Varón,Lavalleja,Atención médica no Covid 19
70,Mujer,Montevideo,
32,Mujer,Montevideo,Lo insoportable que es estar vivos en un mundo capitalista
42,Varón,Montevideo,"Quien fue primero, el huevo o la gallina"
61,Mujer,Montevideo,Cómo salvar a aquellos niños que hoy son los ciudadanos de mañana que son seres desnutridos
30,Mujer,Montevideo,
35,Mujer,Montevideo,Medio ambiente 
36,Mujer,Montevideo,Acceso a vivienda 
73,Varón,Montevideo,
50,Mujer,Durazno,Temas ambientales
29,Mujer,Canelones,
66,Mujer,Montevideo,Ninguno en particular. Contesto las encuestas porque me interesa saber cómo están hechas.
70,Mujer,Montevideo,Situación social y laboral  
66,Mujer,Montevideo,Economia
31,Mujer,Montevideo,Consumo masivo
67,Varón,Montevideo,Si
55,Mujer,Canelones,Las costumbres alimentarias 
62,Mujer,Canelones,Que renuncie el presidente y de aumento a los jubilados con 13 $ se puede vivir
59,Mujer,Montevideo,Situación de calle
47,Mujer,Montevideo,
74,Varón,Montevideo,Porque el pueblo uruguayo es tan irresponsable
59,Varón,Salto,Medios de comunicación 
49,Varón,Montevideo,Reforma de las jubilaciones
62,Mujer,Montevideo,Atención médica y de enfermería en tiempo de pandemia 
30,Mujer,Montevideo,Políticas sociales 
31,Mujer,Montevideo,
70,Varón,Canelones,
73,Mujer,Montevideo,Esta n todos comprendidos 
76,Varón,Colonia,No tengo temas los que desarrollaron estuvieron bien.
50,Mujer,Canelones,La educación como derecho.
68,Mujer,Canelones,Percepción sobre nivel educativo en 3 generciones distintas distintas
42,Mujer,Montevideo,Indigencia 
49,Mujer,Montevideo,
44,Mujer,Maldonado,
59,Varón,Montevideo,
63,Mujer,Rivera,Ayuda económica del Estado para paliar  crisis sanitaria y económica de la población 
79,Mujer,Montevideo,situacion sicologica del encierro debido al coronavirus
40,Mujer,Canelones,Sobre la sociedad en comun 
24,Varón,Montevideo,Educación 
67,Mujer,Maldonado,
65,Mujer,Montevideo,"Menos politica y mas informacion de los temas como, pobreza y ninos sin ningun tipo de cobertura medica y educacion."
51,Mujer,Colonia,Cultura
44,Mujer,Canelones,No sé 
59,Mujer,Canelones,--
61,Mujer,Canelones,"Trabajo, salud, economía "
53,Mujer,Montevideo,Efectos secundarios de vacunas a corto y largo plazo.
47,Mujer,Rocha,Salud 
29,Mujer trans,Montevideo,
58,Varón,Soriano,
52,Varón,Rivera,Que comemos 
58,Mujer,Canelones,Sociales y educación
53,Mujer,Cerro Largo,Costo de vida
45,Varón,Montevideo,
67,Mujer,Montevideo,cuestiones sociales/ economicas
24,Mujer,Montevideo,Presencia o ausencia del Estado
57,Varón,Lavalleja,Vivienda
46,Mujer,Montevideo,El periodismo uruguayo es muy poco serio. No hacen trabajo de investigación. Solo repiten y afirman no son objetivos
72,Mujer,Montevideo,
36,Mujer,Canelones,En que creen y en que confían los y las Jovenes? 
65,Mujer,Montevideo,Situación de calle
46,Varón,Montevideo,Medio ambiente 
57,Mujer,Canelones,Educación 
59,Mujer,Montevideo,Temas alimenticios
57,Varón,Colonia,"Desempleo,pobreza, y no tanta politica"
68,Mujer,Montevideo,Educación 
64,Mujer,Montevideo,Depresión 
58,Mujer,Lavalleja,Educación social
51,Varón,Montevideo,
54,Mujer,Artigas,
49,Mujer,Montevideo,?
40,Mujer,Montevideo,Cultura 
64,Mujer,Montevideo,
45,Mujer,Rocha,Educación
61,Mujer,Montevideo,Sobre los proyectos de los jóvenes
66,Varón,Canelones,
40,Varón,Maldonado,Ni idea
64,Mujer,Colonia,
66,Varón,Montevideo,distribucion de la riqueza
70,Varón,Canelones,"Responsabilidad social: uso de medidas, barbijo, etc. "
60,Mujer,Montevideo,
65,Mujer,Montevideo,-----+
58,Varón,Cerro Largo,Pobreza
40,Mujer,Canelones,Poder hacer un testeo para que sea visible la situcion dificil que vive la poblacion con la falta de ingresos en los hogares
47,Mujer,Montevideo,Economía
56,Mujer,Colonia,Economía 
35,Mujer,Montevideo,De alimentación 
73,Mujer,Montevideo,"Educación, cultura,comunicación"
56,Mujer,Montevideo,Sobre emprendimientos sustentables
49,Varón,Montevideo,SEGURIDAD 
40,Mujer,Montevideo,"Hagan mejor las preguntas, no son completas."
55,Mujer,Montevideo,Economía 
70,Mujer,Montevideo,"Salud,alimentación "
42,Mujer,Montevideo,el tema de los jovenes de 18 a 25 años que no consiguen trabajo
56,Mujer,Montevideo,Educacion
26,Mujer,Montevideo,
66,Varón,Montevideo,Influencia de los medios de comunicación dirigidos
64,Mujer,Montevideo,Cultura
24,Varón,Montevideo,Política
55,Varón,Maldonado,Situación económica
56,Mujer,Canelones,Encuestas socio económicas. Ejemplos q comprabas en el 2020 q ya no consumis
65,Mujer,Montevideo,Como salimos de esta situacíon sin bajar los sueldos 
58,Mujer,Canelones,Seguridad 
51,Mujer,Montevideo,Educacion
43,Mujer,Montevideo,"Diversidad e Inclusión (ej. brecha salarial, cuidados)"
34,Varón,Montevideo,Cultura
30,Mujer,Montevideo,Desigualdad de genero
64,Mujer,Canelones,Trabajo
45,Varón,Canelones,El futuro del candidato 2024
41,Varón,Florida,Política 
47,Mujer,Canelones,Trabajo
62,Varón,Maldonado,Ninguno
35,Varón,Colonia,Tema importante porque la g an mayoría del frente amplio quiere trancar el nuevo gobierno 
58,Mujer,Montevideo,No opino
45,Varón,Maldonado,
55,Varón,Montevideo,Educacion
70,Varón,Canelones,"SOCIALES, CULTURALES, POLITICA, COVI"
65,Mujer,Canelones,Más sobre educacion
54,Mujer,Montevideo,Ecologia y cuidado del medio ambiente
68,Mujer,Colonia,Todo lo que pasa en nuestro país sobre todo a nivel político
65,Mujer,Canelones,Seguridad
36,Mujer,Maldonado,Educación 
37,Varón,Montevideo,Corrupcion
30,Mujer,Montevideo,Desempleo
56,Varón,Canelones,
37,Varón,Montevideo,
40,Varón,Montevideo,
42,Mujer,Montevideo,Feminismos 
61,Varón,Montevideo,Temas ambientales
53,Mujer,Canelones,Trabajo
48,Mujer,Tacuarembo,Educación y desempleo
42,Mujer,Montevideo,Laborales
56,Varón,Tacuarembo,Empleo
53,Mujer,Montevideo,Salud mental en tiempos de Covid
63,Varón,Montevideo,la influencia de la pobreza en el futuro cercano
33,Varón,Canelones,. 
76,Varón,Montevideo,No lo sé. 
35,Mujer,Montevideo,
49,Varón,Montevideo,No sé..esta encuesta estuvo bien 
66,Varón,San Jose,Culturales 
59,Varón,Canelones,Corrupción  en esferas de gobierno.
38,Mujer,Montevideo,
33,Mujer,Montevideo,Educación 
57,Mujer,Canelones,Medios de prensa
60,Varón,San Jose,Sí
64,Mujer,Montevideo,Educación 
80,Mujer,Montevideo,No se 
19,Mujer,Montevideo,violencia o pobreza 
39,Mujer,Montevideo,Laboral 
62,Mujer,Canelones, Medicina 
46,Mujer,Canelones,
64,Mujer,Tacuarembo,El desastre que dejó el gobierno anterior 
58,Mujer,Montevideo,La realidad de la gente común en esta actualidad
37,Varón,Montevideo,Ciencia en Uruguay
26,Mujer,Montevideo,
43,Mujer,Montevideo,Mujeres y contexto laboral/familiar en pandemia 
63,Mujer,Montevideo,salud
32,Mujer,Maldonado,
33,Mujer,Montevideo,Sustentabilidad 
47,Varón,Rivera,Educación
31,Mujer,Canelones,
65,Mujer,Colonia,Buena información 
50,Varón,Canelones,Trabajo
38,Mujer,Montevideo,"Calidad de vida, alimentación, consumo y adquisición de bienes materiales como electrodomésticos, autos, etc."
40,Mujer,Montevideo,
60,Varón,Montevideo,Grupos de poder en Uruguay
30,Mujer,Montevideo,
27,Mujer,Montevideo,Pobreza en Uruguay
23,Varón,Montevideo,
22,Mujer,Montevideo,
62,Mujer,Montevideo,Respinsabilidades
62,Mujer,Paysandu,
53,Varón,Montevideo,"Economico educativo, seguridad "
41,Mujer,Montevideo,Educación
67,Mujer,Cerro Largo,La inseguridad
72,Mujer,Rivera,
64,Mujer,Montevideo,
38,Mujer,Canelones,Alimentación
41,Varón,Montevideo,"Tecnología, internet, libertad democrática, ciencias"
28,Mujer,Montevideo,No se
70,Varón,Montevideo,EFECTIVIDAD DE LA DE LA VACUNACION
34,Varón,Rivera,"La inclinación de los medios a favor del gobierno. Lo poco seria de las encuestas de popularidad del presidente. La casi nula asistencia del gobierno con un 0,14 del PBI a la gente durante la pandemia"
63,Varón,Canelones,Medidas económicas y sociales
45,Mujer,Maldonado,"Trabajo en el turismo, me gustaría tener más información de cómo se va a ir solucionando"
21,Mujer,Montevideo,
23,Varón,Montevideo,La polarización política del Uruguay 
99,Mujer trans,Artigas,Ggg
75,Mujer,Colonia,Que. No.sea.todo.contra.el.nuestro.presidente.porque.es.de.todos.nos
31,Mujer,Montevideo,Educación
67,Mujer,Montevideo,El Estado en las enfermedades sociológicas post pandemia en adolescentes 
42,Mujer,Montevideo,Sería interesante saber estadísticamente qué tan manipulable y borrega es la gente.
59,Varón,Montevideo,INSEGURIDAD
47,Mujer,Florida,Educacion
62,Mujer,Paysandu,Eliminar el frente amplio
57,Mujer,Treinta y Tres,Educacion
19,Varón,Montevideo,
72,Mujer,Montevideo,
49,Mujer,Montevideo,Medio ambiente
39,Varón,Canelones,Trabajo 
37,Mujer,Montevideo,
49,Mujer,Montevideo,La juventud y sus necesidades en esta coyuntura
64,Mujer,Montevideo,
64,Mujer,Canelones,Economía de la región
66,Mujer,Canelones,Situación de la infancia y la vejez
71,Mujer,Florida,"Trabajo, salud, educación, nivel de pobreza, ayuda del Mides"
29,Mujer,Canelones,
23,Varón,Salto,Situación sociocultural del país 
56,Mujer,Montevideo,Educación 
80,Mujer,Montevideo,No tengo preferencia. Pero todas las encuestas preguntan lo mismo.
66,Mujer,Montevideo,
60,Mujer,Montevideo,"La corrupción de los políticos, médicos, policías,etc... Y el GENOCIDIO que está llevando a cabo"
39,Mujer,Montevideo,
45,Varón,Colonia,La soberbia de Lacalle Pou y su incapacidad para afrontar la epidemia y lo reverendo culo roto que es
61,Mujer,Maldonado,Como salir de ésta crisis y no poder trabajar por mi edad 
39,Mujer,Montevideo,Educación escolar 
77,Mujer,Montevideo,Cultura.teatro.lectura.musica.Educacion.
56,Mujer,Montevideo,"Salud no solo covid, y desempleo"
64,Varón,Montevideo,LA BAJA DE LAS JUBILACIONES
60,Varón,Montevideo,
45,Varón,Montevideo,Upm 2
58,Mujer,Montevideo,Cambio climático
60,Varón,Montevideo,Los politicos quien les cree
40,Varón,Montevideo,
43,Mujer,Cerro Largo,Violencia doméstica
37,Mujer,Montevideo,Prestamos y empleos
20,Varón,Montevideo,
79,Mujer,Montevideo,Salud mental de la población a causa de los cambios
49,Mujer,Montevideo,
67,Mujer,Montevideo,Educación 
53,Mujer,Montevideo,ni idea
77,Varón,Montevideo,No me animo a responder
31,Mujer,Colonia,Telecomunicaciones 
49,Mujer,Montevideo,
66,Mujer,Montevideo,
51,Varón,Montevideo,Gastos innecesarios del estado
33,Mujer,Montevideo,
68,Mujer,Canelones,Me es indiferente. 
47,Mujer,Tacuarembo,Consumo de drogas legales e ilegales
43,Mujer,Montevideo,Salud mental
68,Mujer,Montevideo,cualquier tema no comercial
48,Varón,Montevideo,Lo pésimo que es el sistema para agendar las vacuna
54,Varón,Montevideo,Cultura en Uruguay 
62,Mujer,Montevideo,Seguridad y narcotráfico
52,Mujer,Canelones,Medio ambiente
64,Varón,Colonia,EL PROBLEMA PRINCIPAL.LA FALTA DE TRABAJO
62,Mujer,Montevideo,Los abusos intrafamiliares
33,Mujer,Canelones,Aprendizaje y salud mental de niños y adolescentes en pandemia
33,Varón,Canelones,
69,Mujer,Montevideo,Pobreza en Uruguay
33,Varón,Montevideo,
35,Mujer,Montevideo,
68,Mujer,Maldonado,Cómo fueron los contagios 
41,Mujer,Maldonado,La educación de los niños 
61,Mujer,Lavalleja,Salud mental
59,Mujer,Montevideo,
49,Mujer,Montevideo,salud y  educacion de niños y jovenes
42,Varón,Rio Negro,Desigualdad social y laboral
63,Mujer,Montevideo,No se me ocurre
80,Mujer,Maldonado,No se
60,Mujer,Rivera,Trabajo en uruguay 
65,Varón,Montevideo,Si
