industria;nps;razones
banca;NEUTRAL;PORQUE NO HE TENIDO INCONVENIENTES PAGANDO POR BIM, PERO HE TENIDO PROBLEMAS CON EL DESEMBOLSO, NO ME AGARRABA LA CLAVE, NO PODIA INGRESAR. CUANDO LLAME AL CALL CENTER DE BIM, ME ATENDIERON BIEN
banca;NEUTRAL;PORQUE A VECES ES UN PROBLEMA PAGAR CON BIM, NO ESTAMOS ACTUALIZADAS CON EL TEMA DE INTERNET, SE ME HACE MAS FACIL EL PAGO PORQUE AYUDA, NOS SACA DE APURO, PERO EL PONER LA CLAVE, INGRESAR, SE ME HACE UN POCO DIFICIL, SUGIERO QUE LA INTERFAZ SEA MAS AMIGABLE
banca;PROMOTOR;PORQUE PARA MI ES MAS FACIL POR EL BIM, DESDE EL CELULAR HAGO LA TRANSFERENCIA EVITO IR A LA AGENCIA, DESDE LA COMODIDAD DE MI CASA, ES MAS SENCILLO. ME GUSTARIA QUE HAYA MAS AGENTES QUE ME PERMITAN RETIRAR, ME PERMITEN DEPOSITAR PERO NO RETIRAR Y DEBO BUSCAR OTROS AGENTES
banca;PROMOTOR;ES MAS RAPIDO Y SEGURO
banca;DETRACTOR;PORQUE TUVE MUCHOS PROBLEMAS PARA PAGAR CON BIM, NO VUELVO A USAR EL BIM
banca;NEUTRAL;PORQUE A VECES EL SISTEMA FALLA, Y NO HAY AGENCIAS DE BIM
banca;PROMOTOR;PORQUE ES MAS SIMPLE LOS PAGOS, EVITO LA COLA. NO HE TENIDO PROBLEMAS CON BIM. ME COMUNIQUE AL BIM CENTER Y SE DEMORARON EN RESOLVERLO QUINCE DIAS, NO PODIA ABRIR EL BIM, ME DIJERON QUE TENIA PROBLEMAS CON EL EQUIPO, NO ME DABAN SOLUCION, PASARON QUINCE DIAS DE TRAMITE, TUVE QUE COMPRAR OTRO EQUIPO PARA INSTALAR E L BIM
banca;PROMOTOR;PORQUE ES SUPER PRACTICO
banca;PROMOTOR;PORQUE ES PRACTICO PERO ES DIFICIL ENCONTRAR LUGARES PARA RETIRAR
banca;PROMOTOR;EVITA LAS COLAS Y ES AHORRO DE TIEMPO SE PUEDE PAGAR DESDE CASA
banca;PROMOTOR;ES MAS FACIL RAPIDO DESDE CUALQUIER LUGAR Y EVITA LOS CONTAGIOS
banca;DETRACTOR;EL SISTEMA A VECES FALLA, SE CUELGA, NO PUEDO ENTRAR, ME APARECE CLAVE INCORRECTA, SE BLOQUEA LA CUENTA CUANDO PONGO LA CLAVE INCORRECTA TRES VECES, NADIE ME DA SOLUCION , NO HAY UN LUGAR FISICO PARA RECLAMAR, DEBERIA HABER UNO. ESTUVE QUINCE DIAS SIN PODER HACER NADA. LA ATENCION CUANDO LLAME A CALL CENTER DE BIM FUE BUENA, ME ATENDIERON BIEN CUANDO INGRESO LA LLAMADA, PERO DEMORAN EN ACEPTAR LA LLAMADA, PASE DIAS INTENTANDO JUEVES, VIERNES, SABADO, HASTA QUE DESPUES DE VARIOS DIAS LA LLAMADA INGRESO Y PUDE EXPONER MI CASO
banca;NEUTRAL;PORQUE EN ALGUNAS OCASIONES HAY INCONSISTENCIAS CON EL SISTEMA, NO PUEDO INGRESAR DEBO IR A LA AGENCIA DE COMPARTAMOS A QUE ME DEN SOLUCION
banca;PROMOTOR;ES MAS RAPIDO Y PRACTICO PARA REALIZAR EL PAGO
banca;PROMOTOR;A VECES NO SE REALIZA EL PAGO NO REFLEJA EN EL BIM
banca;PROMOTOR;PORQUE ES MUCHO MAS PRACTICO PARA PAGAR, EVITO SALIR AL CENTRO, AHORRO DINERO Y TIEMPO. TODO BIEN CON BIM
banca;DETRACTOR;NO HAY SISTEMA NO HAY SALDO Y NO FIGURA EL PAGO TUVO MUCHOS PROBLEMAS CON EL BIM
banca;NEUTRAL;NO HAY BIM EN TODOS LOS AGENTES Y SE TIENE QUE BUSCAR PARA EL PAGO
banca;PROMOTOR;PORQUE A VECES NO HAY SISTEMA, ES UN PELIGRO ESTAR BUSCANDO UN AGENTE  BCP, EL CAJERO CERCA A CASA DE COMPARTAMOS NO ME PERMITE HACER LA RECARGA NI RETIRO POR BIM, ME MANDA A LA AGENCIA , PERO ES COMODO PORQUE LO PUEDO HACER DESDE CUALQUIER SITIO Y EVITO IR A LA AGENCIA
banca;PROMOTOR;ES ACCESIBLE RAPIDO ES AHORRO DE TIEMPO Y EVITA LAS COLAS
banca;NEUTRAL;PORQUE A VECES NO HAY SISTEMA Y ESO FASTIDIA Y HE TENIDO QUE ACERCARME A LA AGENCIA PARA PODER PAGAR, PERO ES MEJOR PORQUE NO SE JUNTA DINERO EN UNA SOLA CASA, CADA UNO LO HACE POR SU LADO, ES MAS SEGURO.
banca;PROMOTOR;PORQUE NOS ALIVIA MUCHO, EVITO IR A UN AGENTE O A LA MISMA AGENCIA, LO HAGO AL TOQUE DESDE LA APLICACION, NO HE TENIDO PROBLEMAS CON BIM
banca;NEUTRAL;A VECES EL SISTEMA SE DEMORA EN CARGAR, SE PUEDE HACER EL PAGO EN UN SOLO HORARIO, SI HAGO OTRA TRANSACCION NO SE REGISTRA INMEDIATAMENTE. CUANDO LLAME AL CALL CENTER DE BIM SIEMPRE ME DIERON LA ATENCION REQUERIDA
banca;PROMOTOR;PORQUE ES MAS SEGURO, ES MAS FACIL, CADA UNO SABE LO QUE VA A PAGAR
banca;NEUTRAL;PORQUE SERIA MAS PRACTICO, QUE LAS PERSONAS QUE TRABAJAN CON BIM PUEDAN ACCEDER A MAS CANALES, QUE PUEDAN AFILIAR MAS BANCOS INTERBANK, POR EJEMPLO. QUE SEA ASI COMO EL YAPE O PLIN, QUE SE PUEDA TRANSFERIR RAPIDO Y UNA INTERFAZ AMIGABLE
banca;DETRACTOR;PORQUE EL SISTEMA ESTA FALLANDO, NO SE PUEDE PAGAR., DBERIAN HABER MAS FACILIDAD PARA HACER LOS PAGOS, QUE EL SISTEMA NO SE CAIGA. LLAME AL CALL CENTER DE BIM Y ME BRINDARON LA ATENCION REQUERIDA
banca;PROMOTOR;PORQUE ES MAS FACIL POR BIM, PUEDO TENER DINERO EN LA BILLETERA Y PAGAR DIRECTAMENTE. TODO BIEN CON BIM
banca;NEUTRAL;"PORQUE EL BIM ES PRACTICO, AUNQUE  A VECES UNO DEPOSITA  PAGA Y YA ESTA, ES MAS RAPIDO, SIN EMBARGO ME PARECE QUE HAY QUE SEGUIR MUCHOS PASOS PARA PODER PAGAR DESDE BIM
HAY QUE BUSCAR AGENTES QUE TENGAN BIM PORQUE NO TODOS TIENEN PARA PODER RECARGAR, NO TODOS LOS BANCOS ACEPTAN BIM"
banca;PROMOTOR;PORQUE ES MAS SENCILLO, ADEMAS ES SEGURO
banca;PROMOTOR;PORQUE EL BIM ES MUCHO MAS FACTIBLE, RAPIDO Y SEGURO PORQUE NO CARGO DINERO EN FISICO A LA AGENCIA, ADEMAS LO ENCUENTRO AFILIADO A BCP, ES MAS RAPIDO PORQUE BCP HAY EN TODOS LADOS. NO HE TENIDO PROBLEMAS CON BIM
banca;PROMOTOR;ES RAPIDO REALIAZAR EL PAGO SIN SALIR DE CASA Y EVITA LAS COLAS
banca;PROMOTOR;ES RAPIDO Y SEGURO EL PAGO PERO A VECES EL SISTEMA ES LENTO
banca;PROMOTOR;ES MAS RAPIDO Y EN CUALQUIER MOMENTO EL PAGO
banca;PROMOTOR;ES MAS FACIL Y SEGURO
banca;PROMOTOR;PORQUE NOS BRINDA MAS OPCIONES DE PAGAR, PUEDO PAGAR SERVICIOS, NO HE TENIDO PROBLEMAS CON BIM, CUANDO LLAME A CALL CENTER DE BIM ME BRINDAORN LA ATENCION QUE REQUERIA.
banca;PROMOTOR;PORQUE ES MAS FACIL QUE IR A LA AGENCIA, ES RAPIDO EVITO LA COLA EN LA AGENCIA, AUNQUE HAY POCOS LUGARES PARA HACER LA RECARGA, TODO BIEN CON BIM
banca;PROMOTOR;PORQUE ES MAS FACIL, EVITO EL DINERO EN FISICO POR ESO MAS SEGURO, AHORRO TIEMPO. TODO BIEN CON EL BIM
banca;DETRACTOR;PORQUE TUVE PROBLEMAS CON PAGAR CON BIM, EL SISTEMA FALLA, ME VI EN APUROS
banca;PROMOTOR;PORQUE ES MAS PRACTICO, EVITO IR A LA AGENCIA, AHORRO TIEMPO, ES MUCHO MAS FACTIBLE PORQUE NO SALGO DE CASA
banca;PROMOTOR;PORQUE PUEDO PAGAR RAPIDO, PERO RARAS VECES HAY DIAS EN DONDE LOS PAGOS NO ENTRAN, EL SISTEMA FALLA.
banca;PROMOTOR;PORQUE ES SEGURO, SIEMPRE PIDEN CLAVE A LA HORA DE INGRESAR EN LA APLICACION Y NUNCA HE TENIDO PROBLEMAS, ES EXCELENTE PUEDO ADEMAS RETIRAR, HACER RECARGAS
banca;PROMOTOR;ES MAS RAPIDO Y CONFIABLE
banca;DETRACTOR;A VECES NO SE REALIZA EL PAGO
banca;PROMOTOR;ES MAS RAPIDO Y PRACTICO LOS PAGOS SE PUEDEN REALIZAR EN CUALQUIER AGENTE
banca;PROMOTOR;PORQUE ES BIEN PRACTICO, EIVTO LA COLA, YO MISMA PUEDO HACERLO, ES MAS SEGURO, SIEMPRE USO EL BIM. CUANDO LLAME AL CALL CENTER DE BIM, POR UN TEMA DE CAMBIO DE OPERADOR, ME ATENDIERON MUY BIEN, QUEDE SATISFECHA
banca;PROMOTOR;PORQUE ES MAS FACIL PARA PODER PAGAR, EVITO IR A LA AGENCIA, AHORRO TIEMPO
banca;DETRACTOR;PORQUE HE TENIDO PROBLEMAS PARA PAGAR, POR CAMBIO DE OPERADOR. ME COMUNIQUE POR WHATASPP POR BIM, ME DIJERON QUE TENIAN MUCHA DEMANDA, ME TUVIERON DOS SEMANAS ESCRIBIENDOLES Y NUNCA ME DIERON RESPUESTA
banca;PROMOTOR;NO HA TENDIDO PROBLEMAS CON EL BIM
banca;PROMOTOR;ES MAS PRACTICO Y SIN SALIR DE CASA
banca;DETRACTOR;NO USAN EL BIM ALGUNAS PERSONAS
banca;NEUTRAL;PORQUE ES BUENO, ES MEJOR PARA EVITAR SALIR Y MEJOR DESDE HACERLO CASA
banca;PROMOTOR;ES MAS FACIL EVITA LAS COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES MAS ACCESIBLE Y ES AHORRO DE TIEMPO
banca;PROMOTOR;PORQUE ES MAS RAPIDO
banca;PROMOTOR;A VECES NO HAY SISTEMA Y TUVO QUE IR A OTRA AGENCIA QA REALIZAR EL PAGO PERO TODO BIEN
banca;PROMOTOR;ES MAS SEGURO Y PRACTICO
banca;NEUTRAL;VARIAS VECES SE BLOQUEO EL APP DEL BIM
banca;PROMOTOR;ES MAS RAPIDO Y SEGURO
banca;PROMOTOR;ES RAPIDO SENCILLO Y EVITA LAS COLAS
banca;PROMOTOR;ES MA RAPIDO FACIL Y NO HAY COLAS
banca;PROMOTOR;ES MAS RAPIDO EL PAGO
banca;DETRACTOR;PORQUE SIEMPRE TENGO INCONVENIENTES CON BIM, NO HE PODIDO PAGAR, ME RETIENEN DINERO DE LA CUENTA EN BIM, SE DEMORAN ALREDEDOR DE QUINCE DIAS EN RESOLVER, LA APLICACION SIEMPRE FALLA
banca;NEUTRAL;PORQUE ES BUENA LA APLICACION. AUNQUE A VECES DEMORA EN INGRESAR.
banca;PROMOTOR;ES RAPIDO ACCESIBLE NO SE HACE COLA Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES MAS RAPIDO ACCESIBLE Y SEGURO
banca;PROMOTOR;PORQUE ES MENOS RIESGO QUE IR CON DINERO A LA AGENCIA, MAS FAVORABLE, HACERLO ES MAS SEGURO. TODO BIEN CON BIM
banca;NEUTRAL;NO REFLEJAN LOS DEPOSITOS QUE SE REALIZAN
banca;PROMOTOR;ES MAS FACIL Y RAPIDO PARA LOS PAGOS
banca;PROMOTOR;TES RAPIDO Y TIENEN BUENAS ATENCION
banca;NEUTRAL;PORQUE ES MAS SEGURO, MAS RAPIDO, EVITO LA COLA.
banca;PROMOTOR;EVITA ROBOS Y CADA UNO PAGA SU CUOTA
banca;PROMOTOR;A VECES EL SISTEMA SE PONE LENTO
banca;PROMOTOR;EVITA ROBOS Y AHORRO DE TIEMPO SIN SALIR DE CASA
banca;PROMOTOR;ES MAS RAPIDO EL PAGO Y EVITA LAS COLAS
banca;DETRACTOR;SE BLOQUEABA EL APP DEL BIM Y NO LE PERMITIA PAGAR
banca;PROMOTOR;ES MAS RAPIDO EL PAGO EVITA LAS COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES RAPIDO Y EVITA LAS COLAS
banca;PROMOTOR;ES MAS RAPIDO Y EVITA LAS COLAS
banca;PROMOTOR;ES MAS RAPIDO EL PAGO
banca;PROMOTOR;ES RAPIDO NO HAY COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES RAPIDO EVITA LAS COLAS Y ES CONFIABLE
banca;PROMOTOR;ES RAPIDO Y SEGURO EL PAGO
banca;PROMOTOR;ES MAS RAPIDO Y EVITA LOS ROBOS
banca;PROMOTOR;EVITA LAS COLAS Y ES AHORRO DE TIEMPO
banca;DETRACTOR;PORQUE NO HAY MUCHOS AGENTES BUIM, SE COMPLICA LOS DEPOSITOS Y RETIROS, NO SE PUEDE TRANSFERIR A UNA CUENTA DEL BANCO PORQUE A VECES NO HAY SISTEMA, POR OTRO LADO A VECES SE AGILIZA EL PROCESO
banca;PROMOTOR;ES MAS RAPIDO  EVITA LAS COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES RAPIDO Y FACIL Y AHORRO D4E TIEMPO
banca;PROMOTOR;PORQUE ES MAS SEGURO PAGAR POR BIM, NO ME EXPONGO CON DINERO EN FISICO, AUNQUE SUGIERO QUE NO HAYA LIMITES PARA PAGAR, SI EL MONTO PASA DE NOVECIENTOS NOVENTA Y NUEVE SOLES SE DEBE HACER MAS DE UNA TRANSACCION, DEBO HACER ONCE TRANSACCIONES PARA PAGAR MI CREDITO, SERIA MEJOR TRANSFERIR DE UN SOLO GOLPE
banca;PROMOTOR;PORQUE NO RECIBEN MAS DE QUINIENTOS SOLES, PONEN UN LIMITE A LA HORA DEL PAGO, AHORA LOS AGENTES DEL BCP NO RECIBEN PARA PODER PAGAR POR BIM
banca;NEUTRAL;PORQUE EN EL ULTIMO PAGO TUVE PROBLEMAS, ME DIJERON QUE ESTABA FALLANDO LA APLICACION EN LA AGENCIA, DESPUES DE ESO TODO BIEN
banca;DETRACTOR;A VECES NO HAY SISTEMA Y LOS PAGOS DEMORAN EN LLEGAR
banca;PROMOTOR;PORQUE AHORRO TIEMPO, ES MAS SEGURO
banca;PROMOTOR;ES MAS RAPIDO EL PAGO A VECES NO HAY SISTEMA
banca;PROMOTOR;ES MAS RAPIDO Y NO HAY COLAS
banca;PROMOTOR;ES MAS FACIL  RAPIDO Y EVITA LAS COLAS
banca;PROMOTOR;ES MAS RAPIDO Y EVITA LAS COLAS
banca;PROMOTOR;ES MAS FACIL RAPIDO EVITA ROBOS EVITA TAMBIEN LAS COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;PORQUE POR BIM EVITO IR A LA AGENCIA, ES RAPIDO
banca;NEUTRAL;MENCIONA QUE CUANDO REALIZA EL PAGO MEDIANTE BIM SIEMPRE FALTA DINERO
banca;PROMOTOR;PORQUE NO HE TENIDO PROBLEMA CON BIM ADEMAS ES RAPIDO EL PAGO POR BIM
banca;PROMOTOR;ES MAS PRACTICO RAPIDO Y EVITA ROBOS
banca;PROMOTOR;PORQUE ME HA IDO BIEN CON EL BIM
banca;PROMOTOR;PORQUE A VECES EL SISTEMA FALLA, PERO TODO BIEN, PAGO BIEN CON EL BIM
banca;NEUTRAL;PORQUE HE TENIDO IMPREVISTOS CUANDO HE QUERIDO PAGAR POR BIM, A LA HORA DE PAGAR NO SE HA LOGRADO COMPLETAR LA TRANSACCION
banca;DETRACTOR;TENIAN PROBLEMAS CON LA APP DEL BIM Y A VECES NO HAY BAUCHER
banca;PROMOTOR;PORQUE EVITO IR A LA AGENCIA, Y ES MAS RAPIDO
banca;PROMOTOR;PORQUE ES MAS SEGURO, TODO BIEN CON EL BIM, AUNQUE A VECES SE CUELGA LA PAGINA
banca;PROMOTOR;PORQUE ES MUY BUENO, AHORRO TIEMPO, EVITO IR A LA AGENCIA, ES SEGURA, FACIL DE USAR
banca;PROMOTOR;PORQUE AHORRO TIEMPO, EVITO IR A LA AGENCIA, NO HE TENIDO PROBLEMAS CON BIM
banca;PROMOTOR;ES MAS RAPIDO EVITA ROBOS ESTA CERCA DE CASA Y EVITA EL CONTAGIO DEL COVID
banca;PROMOTOR;ES MAS RAPIDO Y SEGURO EL PAGO
banca;PROMOTOR;ES MAS SEGURO Y RAPIDO CADA UNO ES RESPONSABLE DEL PAGO DE LAS CUOTAS
banca;PROMOTOR;ES MAS PRACTICO RAPIDO EVITA LAS COLAS Y AHORRO DE TIEMPO
banca;DETRACTOR;EL APP DEL BIM NO FUNCIONA SE CUELGA Y PIDE LA CLAVE  CADA MOMENTO
banca;PROMOTOR;ES MAS RAPIDO EL PAGO DESDE CASA Y EVITA LAS COLAS
banca;NEUTRAL;SE TIENE QUE PAGAR EN DOS PARTES NO RECIBE TODO EL MONTO A PAGAR Y ES LENTO EL SISTEMA ES LENTO
banca;DETRACTOR;PORQUE ES UN FASTIDIO, NO HAY SISTEMA, HE TENIDO INCONVENIENTES PARA PAGAR POR BIM
banca;PROMOTOR;ES MAS FACIL RAPIDO Y ES AHORRO DE TIEMPO
banca;PROMOTOR;AHORRA DE TIEMPO EVITA LAS COLAS
banca;PROMOTOR;ES RAPIDO AHORRO DE TIEMPO  Y EVITAS LAS COLAS
banca;PROMOTOR;ES RAPIDO LOS PAGOS
banca;PROMOTOR;ES RAPIDO NO HAY COLAS
banca;PROMOTOR;ES RAPIDO EVITAS LA COLAS
banca;PROMOTOR;ES SEGURO Y PRACTICO EL PAGO
banca;PROMOTOR;ES RAPIDO Y EN CUALQUIER HORARIO SE PUEDE PAGAR
banca;PROMOTOR;ES FACIL RAPIDO Y NO HAY COLAS
banca;PROMOTOR;ES RAPIDO FACIL Y ES AHORRO DE TIEMPO
banca;DETRACTOR;ES BIEN COMPLICADO TOMA TIEMPO USARLO
banca;NEUTRAL;ES FACIL RAPIDO SOLO LAS PERSONAS ADULTAS NO SABEN USARLA EL APP
banca;PROMOTOR;ES FACIL SE PUEDE PAGAR EN CUALQUIER LUGAR
banca;PROMOTOR;ES RAPIDO MAS PARATCICO Y FACIL SIN SALIR DE CASA
banca;PROMOTOR;ES AHORRO DE TIEMPO EVITA ROBOS Y ES RAPIDO
banca;PROMOTOR;TIENEN BUENA ATENCION  Y ES RAPIDO LOS PAGOS
banca;PROMOTOR;TIENEN BUENA ATENCION Y ES RAPIDO
banca;PROMOTOR;ES RAPIDO NO HAY COLAS
banca;NEUTRAL;ES RAPIDO NO HAY COLAS TODABIA LE DIFICULTA USAR EL APP DEL BIM
banca;PROMOTOR;EVITA LAS COLAS ES RAPIDO Y ES AHORRO DE TIEMPO
banca;PROMOTOR;A VECES N HAY MUCHOS AGENTES EL PAGO ES RAPIDO
banca;NEUTRAL;A VECES TIENEN FALLAS AL MOMENTO DEL PAGO EN LA APP ERROR DE CONEXION
banca;PROMOTOR;ES RAPIDO Y FACIL LOS PAGOS
banca;PROMOTOR;ES MAS PRACTICO EVITA LA COLAS
banca;PROMOTOR;ES RAPIDO Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES RAPIDO FACIL EVITAS LAS COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;NO HAY COLAS Y EL PAGO ES RAPIDO
banca;NEUTRAL;ES RAPIDO NO HAY COLAS
banca;PROMOTOR;ES MAS RAPIDO Y EVITA LAS COLA
banca;PROMOTOR;ES MAS PRACTICO Y FACIL
banca;NEUTRAL;ES FACIL RAPIDO EVITA LAS COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES FACIL RAPIDO Y NO HAY COLAS
banca;PROMOTOR;ES FACIL RAPIDO EVITA LAS COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES MAS FACIL Y ES AHORRO DE TIEMPO
banca;DETRACTOR;NO PERMITE PAGAR MONTO COMPLETO SE PAGA EN PARTES Y SE TIENE QUE BUSCAR OTROS AGENTES
banca;PROMOTOR;ES RAPIDO FACIL EVITAS LAS COLAS
banca;PROMOTOR;SE EVITA LAS COLAS PERO NO SALE EL NOMBRE DE LA PERSONA A PAGAR
banca;NEUTRAL;NO FIGURA LOS DATOS PERSONALES Y LA CUOTA TIENE CONSULTAR CON SU ANALISTA
banca;PROMOTOR;ES RAPIDO FACIL EVITA LAS COLAS Y ES AHORRO DE TIEMPO
banca;NEUTRAL;ES RAPIDO NO HAY COLAS
banca;NEUTRAL;ES RAPIDO Y PRACTICO LOS PAGOS
banca;PROMOTOR;ES FACIL Y RAPIDO CON TAN SOLO RECARGAR
banca;PROMOTOR;ES MAS SEGURO RAPIDO NO SE HACE COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES RAPIDO NO HAY COLAS
banca;PROMOTOR;ES RAPIDO NO HAY COLAS Y ES AHORRO DE TIEMPO
banca;PROMOTOR;ES RAPIDO SEGURO Y EFECTIVO LOS PAGOS
banca;PROMOTOR;ES MAS FACIL Y RAPIDO EL PAGO
banca;PROMOTOR;PORQUE ES MAS RAPIDO, EVITO LA COLA
banca;PROMOTOR;PORQUE ES MAS RAPIDO PARA PAGAR, EVITO IR A LA FINANCIERA,
banca;PROMOTOR;PORQUE EVITO IR A LA FINANCIERA, CUANDO LLAME A BIM CENTER ME CONTESTARON DESPUES DE INTENTAR TRES DIAS, NO ME DIERON LA ATENCION QUE REQUERIA, ME PIDIERON FOTOS POR LAS PURAS, EL PROBLEMA SURGIO CUANDO CAMBIE DE EQUIPO
banca;PROMOTOR;PORQUE SIEMPRE LO RECOMIENDO, ES MAS FACIL, ES MAS RAPIDO, ES BUENO, EVITO HACER COLA, LAS AGLOMERACIONES, CUANDO LLAME A BIM CENTER, ME AYUDARON CON MI PROBLEMA, TODO BIEN.
banca;NEUTRAL;PORQUE CUANDO REPROGRAMAS TU CREDITO INDIVIDUAL SE VA AL CREDITO GRUPAL, LA CUOTA SE ACUMULA EN EL SIGUIENTE CREDITO
banca;NEUTRAL;PORQUE ME PARECE DE MUCHA AYUDA LA APLICACION, YO PAGO POR BIM Y TODO BIEN, AUNQUE A VECES LA APLICACION SE CONGELA, SE VA LA SEÑAL, CUANDO LLAME A BIM CENTER ME DIERON BUENA ATENCION
banca;PROMOTOR;PORQUE ES MAS FACIL, EVITO LA COLA, EVITO LA AGENCIA, SUGIERO QUE ARREGLEN EL PROBLEMA CUANDO SE CAMBIA DE EQUIPO MOVIL, POR EJEMPLO, SI CAMBIO DE EQUIPO O ME ROBAN MI CELULAR, NO PUEDO INSTALAR LA APLICACION EN EL NUEVO EQUIPO, TENGO QUE REGISTRARLO NUEV
banca;PROMOTOR;PORQUE ES MAS FACIL PAGAR POR BIM, MAS PRACTICO, EVITO LA COLA, EVITO IR A LA AGENCIA,
banca;PROMOTOR;PORQUE ES MAS ACCESIBLE, MAS FACTIBLE, ES RAPIDO
banca;PROMOTOR;PORQUE ES MAS FACIL, PARA MI SE ME HACE FACIL, ADEMAS NO ME COBRAN COMISIONES, Y SI ME COBRAN ES ALGO MUY BAJO, CREO QUE NO ME COBRAN
banca;PROMOTOR;PORQUE A VECES ME PIDEN CODIGO PARA PAGAR, PERO SUGIERO QUE SE PUEDE PAGAR SOLO CON DNI, TODO BIEN CON BIM
banca;PROMOTOR;PORQUE ES MAS PRACTICO, EVITO LA COLA, ES FACIL, A VECES EL SISTEMA SE PONE LENTO
banca;PROMOTOR;PORQUE ES RAPIDO PAGAR BIM
banca;PROMOTOR;PORQUE ES MUCHO MAS RAPIDO, FACIL, PUEDO PAGAR EN CUALQUIER LUGAR, EVITO IR A LA FINANCIERA
banca;NEUTRAL;PORQUE A VECES TENEMOS MONTO MAYOR A MIL SOLES Y NO PODEMOS PAGAR, DEBO HACER MAS TRANSACCIONES
banca;PROMOTOR;PORQUE ES MAS FACIL, EVITO IR A LA FINANCIERA, EVITA LA COLA, SALIR DE CASA, ES UNA MEJOR OPCION, ES DE AYUDA
banca;PROMOTOR;PORQUE ES MAS RAPIDO PAGAR POR BIM
banca;PROMOTOR;PORQUE ES MAS RAPIDO PAGAR CON BIM, Y LO PUEDO HACER DESDE CASA
banca;PROMOTOR;PORQUE ES UNA OPCION MAS FACIL. ME COMUNIQUE CON WHATASAPP DE BIM CENTER, LUEGO LLAME, PERO DEMORAN EN CONTESTAR LAS LLAMADAS, LOS ASESORES NO SABEN BRINDAR SOLUCION, DESCONOCEN INFORMACION, LA LLAMADA DEMORA EN INGRESAR APROXIMADAMENTE SIETE MINUTOS, VAR
banca;DETRACTOR;PORQUE HAY VENTAJAS Y DESVENTAJAS, LA FACILIDAD POR RECARGAR POR BIM, LA DESVENTAJA ES QUE NO BRINDA LOS DATOS DE LA PERSONA QUE PAGA, EL SISTEMA ES POR CODIGO, NO PERMITE HACER EL PAGO MAYOR A NOVECIENTOS SOLES, ME PONE LIMITE, UNA VEZ LLAME A CALL CENTE
